slug,category,nameSingularTitleCase,namePluralTitleCase,nameSingularSentenceCase,namePluralSentenceCase,description
chicken-egg,egg,Chicken Egg,Chicken Eggs,chicken egg,chicken eggs,A protein-rich egg from backyard chickens in many sizes and colors.
duck-egg,egg,Duck Egg,Duck Eggs,duck egg,duck eggs,A rich large egg with a slightly stronger flavor than chicken eggs.
goose-egg,egg,Goose Egg,Goose Eggs,goose egg,goose eggs,A very large egg with a creamy yolk and rich flavor.
quail-egg,egg,Quail Egg,Quail Eggs,quail egg,quail eggs,A tiny speckled egg with a rich flavor popular in many cuisines.
turkey-egg,egg,Turkey Egg,Turkey Eggs,turkey egg,turkey eggs,A large speckled egg with a mild creamy flavor.
apple,fruit,Apple,Apples,apple,apples,A classic garden favorite available in many heirloom and wild varieties.
apricot,fruit,Apricot,Apricots,apricot,apricots,A sweet stone fruit that ripens in early summer.
aronia,fruit,Aronia Berry,Aronia Berries,aronia berry,aronia berries,A tart native berry rich in antioxidants and great for jams.
asian-pear,fruit,Asian Pear,Asian Pears,asian pear,asian pears,A crisp and juicy pear with an apple-like texture.
avocado,fruit,Avocado,Avocados,avocado,avocados,A creamy fruit beloved for its rich flavor and versatility.
blackberry,fruit,Blackberry,Blackberries,blackberry,blackberries,A thorny bramble fruit that thrives in gardens and hedgerows.
blood-orange,fruit,Blood Orange,Blood Oranges,blood orange,blood oranges,A citrus fruit with crimson flesh and a raspberry-like flavor.
blueberry,fruit,Blueberry,Blueberries,blueberry,blueberries,A sweet-tart berry perfect for fresh eating or baking.
boysenberry,fruit,Boysenberry,Boysenberries,boysenberry,boysenberries,A large dark berry cross between raspberry and blackberry.
cantaloupe,fruit,Cantaloupe,Cantaloupes,cantaloupe,cantaloupes,A sweet netted melon best eaten fresh off the vine.
cherry,fruit,Cherry,Cherries,cherry,cherries,A sweet or sour stone fruit harvested in early summer.
crabapple,fruit,Crabapple,Crabapples,crabapple,crabapples,A small tart apple ideal for jelly and ornamental uses.
currant,fruit,Currant,Currants,currant,currants,A small tart berry excellent for jams and juice.
elderberry,fruit,Elderberry,Elderberries,elderberry,elderberries,A small dark berry used for syrups and traditional remedies.
feijoa,fruit,Feijoa,Feijoas,feijoa,feijoas,A tropical-flavored fruit with a sweet guava-like taste.
fig,fruit,Fig,Figs,fig,figs,A sweet Mediterranean fruit with a honey-rich interior.
gooseberry,fruit,Gooseberry,Gooseberries,gooseberry,gooseberries,A tart berry great for pies and jams.
grape,fruit,Grape,Grapes,grape,grapes,A versatile vine fruit enjoyed fresh or as juice and raisins.
grapefruit,fruit,Grapefruit,Grapefruits,grapefruit,grapefruits,A large citrus fruit with a pleasantly bitter flavor.
ground-cherry,fruit,Ground Cherry,Ground Cherries,ground cherry,ground cherries,A small husk-wrapped fruit with a sweet pineapple-vanilla flavor.
guava,fruit,Guava,Guavas,guava,guavas,A tropical fruit with a fragrant sweet interior.
huckleberry,fruit,Huckleberry,Huckleberries,huckleberry,huckleberries,A wild-tasting berry similar to blueberry found in mountain regions.
jostaberry,fruit,Jostaberry,Jostaberries,jostaberry,jostaberries,A thornless hybrid cross between currant and gooseberry.
jujube,fruit,Jujube,Jujubes,jujube,jujubes,A small date-like fruit with a crunchy apple texture when fresh.
kiwi,fruit,Kiwi,Kiwis,kiwi,kiwis,A tangy green fruit with edible seeds and bright flavor.
kumquat,fruit,Kumquat,Kumquats,kumquat,kumquats,A tiny citrus fruit eaten whole with sweet skin and tart flesh.
lemon,fruit,Lemon,Lemons,lemon,lemons,A bright citrus fruit essential for cooking and beverages.
lime,fruit,Lime,Limes,lime,limes,A tart citrus fruit used in cooking and cocktails.
loquat,fruit,Loquat,Loquats,loquat,loquats,A mild sweet orange fruit that ripens in late winter or spring.
lychee,fruit,Lychee,Lychees,lychee,lychees,A fragrant tropical fruit with floral sweet flesh.
mandarin,fruit,Mandarin,Mandarins,mandarin,mandarins,A small easy-peel citrus fruit with a sweet mild flavor.
mayhaw,fruit,Mayhaw,Mayhaws,mayhaw,mayhaws,A Southern native berry used for prized jelly and syrup.
medlar,fruit,Medlar,Medlars,medlar,medlars,An old-fashioned fruit traditionally eaten after bletting.
meyer-lemon,fruit,Meyer Lemon,Meyer Lemons,meyer lemon,meyer lemons,A sweeter thin-skinned lemon hybrid popular for baking.
mulberry,fruit,Mulberry,Mulberries,mulberry,mulberries,A prolific tree fruit with a sweet blackberry-like flavor.
muscadine,fruit,Muscadine,Muscadines,muscadine,muscadines,A thick-skinned Southern grape variety with a musky sweet flavor.
nectarine,fruit,Nectarine,Nectarines,nectarine,nectarines,A smooth-skinned stone fruit closely related to peaches.
olive,fruit,Olive,Olives,olive,olives,A savory drupe used for oil and table eating.
orange,fruit,Orange,Oranges,orange,oranges,A popular citrus fruit enjoyed fresh or as juice.
papaya,fruit,Papaya,Papayas,papaya,papayas,A tropical fruit with orange flesh and a sweet mild flavor.
passion-fruit,fruit,Passion Fruit,Passion Fruit,passion fruit,passion fruit,A vine fruit with fragrant tropical sweet-tart pulp.
pawpaw,fruit,Pawpaw,Pawpaws,pawpaw,pawpaws,A custard-like North American native fruit with banana and mango notes.
peach,fruit,Peach,Peaches,peach,peaches,A classic summer stone fruit with juicy sweet flesh.
pear,fruit,Pear,Pears,pear,pears,A crisp or buttery fruit available in many heirloom varieties.
persimmon,fruit,Persimmon,Persimmons,persimmon,persimmons,A sweet orange autumn fruit best eaten fully ripe.
pineapple-guava,fruit,Pineapple Guava,Pineapple Guavas,pineapple guava,pineapple guavas,An evergreen shrub fruit with a minty pineapple-like flavor.
plantain,fruit,Plantain,Plantains,plantain,plantains,A starchy cooking banana harvested green or ripe.
plum,fruit,Plum,Plums,plum,plums,A juicy sweet-tart stone fruit available in many colors.
pomegranate,fruit,Pomegranate,Pomegranates,pomegranate,pomegranates,A jewel-toned fruit filled with sweet tangy arils.
pomelo,fruit,Pomelo,Pomelos,pomelo,pomelos,The largest citrus fruit with mild sweet grapefruit-like flesh.
prickly-pear,fruit,Prickly Pear,Prickly Pears,prickly pear,prickly pears,A cactus fruit with sweet magenta or yellow flesh.
quince,fruit,Quince,Quinces,quince,quinces,A fragrant fall fruit best cooked into jelly or paste.
raspberry,fruit,Raspberry,Raspberries,raspberry,raspberries,A delicate tart-sweet bramble fruit popular for fresh eating.
serviceberry,fruit,Serviceberry,Serviceberries,serviceberry,serviceberries,A North American native berry with a sweet almond-like flavor.
strawberry,fruit,Strawberry,Strawberries,strawberry,strawberries,A sweet red spring fruit beloved for fresh eating and jam.
tamarillo,fruit,Tamarillo,Tamarillos,tamarillo,tamarillos,An egg-shaped South American fruit with tart tangy flesh.
tangerine,fruit,Tangerine,Tangerines,tangerine,tangerines,A small bright citrus fruit with an easy-peel sweet flavor.
walnut,fruit,Walnut,Walnuts,walnut,walnuts,A rich tree nut harvested in fall.
watermelon,fruit,Watermelon,Watermelons,watermelon,watermelons,A refreshing large summer fruit with sweet juicy flesh.
almond,fruit,Almond,Almonds,almond,almonds,A versatile tree nut with a mild sweet flavor eaten raw or roasted.
banana,fruit,Banana,Bananas,banana,bananas,A sweet tropical fruit harvested year-round in warm climates.
breadfruit,fruit,Breadfruit,Breadfruits,breadfruit,breadfruits,A large starchy tropical fruit used as a cooked staple food.
chestnut,fruit,Chestnut,Chestnuts,chestnut,chestnuts,A starchy nut roasted or used in savory and sweet dishes.
coconut,fruit,Coconut,Coconuts,coconut,coconuts,A large tropical drupe with edible white flesh and refreshing water.
date,fruit,Date,Dates,date,dates,A sweet chewy stone fruit harvested from date palm trees.
dragon-fruit,fruit,Dragon Fruit,Dragon Fruit,dragon fruit,dragon fruit,A tropical cactus fruit with bright skin and speckled white or red flesh.
hazelnut,fruit,Hazelnut,Hazelnuts,hazelnut,hazelnuts,A small round nut with a sweet rich flavor popular in confections.
jackfruit,fruit,Jackfruit,Jackfruits,jackfruit,jackfruits,A massive tropical fruit with sweet yellow pods or savory young flesh.
longan,fruit,Longan,Longans,longan,longans,A small tropical fruit with sweet translucent flesh and a large seed.
macadamia,fruit,Macadamia,Macadamias,macadamia,macadamias,A rich creamy nut grown in Hawaii and warm climates.
mango,fruit,Mango,Mangoes,mango,mangoes,A tropical stone fruit with sweet golden flesh.
pecan,fruit,Pecan,Pecans,pecan,pecans,A rich buttery tree nut widely grown in the American South.
pineapple,fruit,Pineapple,Pineapples,pineapple,pineapples,A spiky tropical fruit with sweet juicy yellow flesh.
pistachio,fruit,Pistachio,Pistachios,pistachio,pistachios,A small green nut with a buttery flavor popular as a snack.
starfruit,fruit,Starfruit,Starfruits,starfruit,starfruits,A star-shaped tropical fruit with a crisp sweet-tart flavor.
tamarind,fruit,Tamarind,Tamarinds,tamarind,tamarinds,A tart tropical pod fruit used in sauces, candy, and beverages.
basil,herb,Basil,Basil,basil,basil,A fragrant tender annual herb essential in Italian and Asian cuisines.
bay-laurel,herb,Bay Laurel,Bay Laurel,bay laurel,bay laurel,An aromatic evergreen shrub leaf used to flavor soups and stews.
calendula,herb,Calendula,Calendula,calendula,calendula,A bright edible flower with anti-inflammatory and skin-soothing properties.
chamomile,herb,Chamomile,Chamomile,chamomile,chamomile,A gentle daisy-like herb used for calming teas and medicinal remedies.
chervil,herb,Chervil,Chervil,chervil,chervil,A delicate anise-flavored herb used in classic French cooking.
chives,herb,Chives,Chives,chives,chives,A mild onion-flavored herb excellent for garnishing and fresh use.
cilantro,herb,Cilantro,Cilantro,cilantro,cilantro,A bright aromatic herb essential in Mexican and Southeast Asian cooking.
dill,herb,Dill,Dill,dill,dill,A feathery herb used in pickles and as a fresh culinary accent.
echinacea,herb,Echinacea,Echinacea,echinacea,echinacea,A medicinal purple coneflower traditionally used to support immune health.
epazote,herb,Epazote,Epazote,epazote,epazote,A pungent Mexican culinary herb used in bean dishes and salsas.
hyssop,herb,Hyssop,Hyssop,hyssop,hyssop,An aromatic medicinal herb with small purple flowers and a minty flavor.
lavender,herb,Lavender,Lavender,lavender,lavender,A fragrant flowering herb used in cooking and aromatherapy.
lemon-balm,herb,Lemon Balm,Lemon Balm,lemon balm,lemon balm,A lemon-scented mint family herb used in teas and as a calming remedy.
lemon-verbena,herb,Lemon Verbena,Lemon Verbena,lemon verbena,lemon verbena,An intensely lemon-scented herb used in teas and desserts.
lemongrass,herb,Lemongrass,Lemongrass,lemongrass,lemongrass,A citrusy tropical grass used in Southeast Asian cooking and teas.
lovage,herb,Lovage,Lovage,lovage,lovage,A tall celery-flavored herb used in European soups and stews.
marjoram,herb,Marjoram,Marjoram,marjoram,marjoram,A sweet mild oregano relative used in Mediterranean cooking.
mint,herb,Mint,Mint,mint,mint,A vigorous spreading herb with a refreshing cool flavor.
mugwort,herb,Mugwort,Mugwort,mugwort,mugwort,An aromatic perennial herb used in traditional medicine and smudging.
nasturtium,herb,Nasturtium,Nasturtiums,nasturtium,nasturtiums,An edible flowering herb with peppery leaves and bright blossoms.
nettle,herb,Nettle,Nettles,nettle,nettles,A nutrient-dense wild herb excellent for teas and cooked greens.
oregano,herb,Oregano,Oregano,oregano,oregano,A robust Mediterranean herb essential in Italian and Greek cuisines.
parsley,herb,Parsley,Parsley,parsley,parsley,A versatile culinary herb used fresh or dried in many dishes.
passionflower,herb,Passionflower,Passionflower,passionflower,passionflower,A tropical vine flower used in calming teas and herbal remedies.
peppermint,herb,Peppermint,Peppermint,peppermint,peppermint,A strongly menthol-flavored mint popular for teas and confections.
rosemary,herb,Rosemary,Rosemary,rosemary,rosemary,A fragrant woody Mediterranean herb used in roasting and baking.
sage,herb,Sage,Sage,sage,sage,A velvety aromatic herb widely used in poultry and Italian dishes.
savory,herb,Savory,Savory,savory,savory,A peppery herb used in bean dishes and as a salt substitute.
shiso,herb,Shiso,Shiso,shiso,shiso,A Japanese herb with a complex basil-mint flavor.
spearmint,herb,Spearmint,Spearmint,spearmint,spearmint,A mildly sweet mint popular for culinary use and herbal teas.
st-johns-wort,herb,St. John's Wort,St. John's Wort,st. john's wort,st. john's wort,A yellow-flowered herb traditionally used as a natural mood support.
stevia,herb,Stevia,Stevia,stevia,stevia,A sweet-leafed herb used as a natural zero-calorie sweetener.
tarragon,herb,Tarragon,Tarragon,tarragon,tarragon,An anise-flavored herb essential in French cuisine.
thai-basil,herb,Thai Basil,Thai Basil,thai basil,thai basil,An anise-spiced basil variety used in Thai and Vietnamese dishes.
thyme,herb,Thyme,Thyme,thyme,thyme,A small-leaved herb widely used in European savory cooking.
tulsi,herb,Tulsi,Tulsi,tulsi,tulsi,A sacred Indian basil variety with a clove-like peppery flavor.
valerian,herb,Valerian,Valerian,valerian,valerian,A medicinal herb with sedative properties used for sleep support.
vietnamese-coriander,herb,Vietnamese Coriander,Vietnamese Coriander,vietnamese coriander,vietnamese coriander,A peppery lime-flavored herb used in Southeast Asian salads and soups.
winter-savory,herb,Winter Savory,Winter Savory,winter savory,winter savory,A pungent perennial savory used in bean and meat dishes.
yarrow,herb,Yarrow,Yarrow,yarrow,yarrow,A feathery-leaved medicinal herb with clusters of small white flowers.
ginger,herb,Ginger,Ginger,ginger,ginger,An aromatic rhizome used fresh or dried in cooking and teas.
comb-honey,honey,Comb Honey,Comb Honey,comb honey,comb honey,Fresh honeycomb with wax cells still intact and naturally drizzling.
honey,honey,Honey,Honey,honey,honey,Pure raw honey harvested from backyard or local hives.
infused-honey,honey,Infused Honey,Infused Honey,infused honey,infused honey,Honey infused with herbs or spices for a unique flavor.
dried-flowers,other,Dried Flowers,Dried Flowers,dried flowers,dried flowers,Dried garden flowers for decorative or culinary use.
edible-flowers,other,Edible Flowers,Edible Flowers,edible flowers,edible flowers,Fresh garden blossoms safe to eat and beautiful on dishes.
microgreens,other,Microgreens,Microgreens,microgreens,microgreens,Young tender seedlings harvested just after sprouting.
mushrooms,other,Mushrooms,Mushrooms,mushrooms,mushrooms,Cultivated or foraged fungi with earthy flavors.
other,other,Other,Produce,other,produce,Any produce type not listed here.
sprouts,other,Sprouts,Sprouts,sprouts,sprouts,Freshly germinated seeds rich in nutrients and enzymes.
worm-castings,other,Worm Castings,Worm Castings,worm castings,worm castings,Nutrient-rich vermicompost castings used as organic fertilizer.
apple-butter,preserved,Apple Butter,Apple Butter,apple butter,apple butter,A smooth spiced spread made from slow-cooked apples.
dehydrated-fruit,preserved,Dehydrated Fruit,Dehydrated Fruit,dehydrated fruit,dehydrated fruit,Fruit dried to concentrate sweetness and extend shelf life.
fermented-hot-sauce,preserved,Fermented Hot Sauce,Fermented Hot Sauce,fermented hot sauce,fermented hot sauce,A tangy lacto-fermented hot sauce made from fresh peppers.
fermented-vegetables,preserved,Fermented Vegetables,Fermented Vegetables,fermented vegetables,fermented vegetables,Vegetables preserved through natural lacto-fermentation.
fruit-leather,preserved,Fruit Leather,Fruit Leather,fruit leather,fruit leather,Pureed fruit dried into a chewy portable snack.
garlic-dill-pickles,preserved,Garlic Dill Pickles,Garlic Dill Pickles,garlic dill pickles,garlic dill pickles,Classic cucumber pickles with garlic and fresh dill.
herb-infused-vinegar,preserved,Herb-Infused Vinegar,Herb-Infused Vinegar,herb-infused vinegar,herb-infused vinegar,Aromatic vinegar steeped with fresh garden herbs.
jam,preserved,Jam,Jam,jam,jam,A cooked fruit preserve with a spreadable texture.
jelly,preserved,Jelly,Jelly,jelly,jelly,A smooth clear fruit preserve made from strained juice.
kimchi,preserved,Kimchi,Kimchi,kimchi,kimchi,A spicy fermented Korean vegetable condiment.
marmalade,preserved,Marmalade,Marmalade,marmalade,marmalade,A citrus preserve with suspended peel for a bittersweet flavor.
miso,preserved,Miso,Miso,miso,miso,A fermented soybean paste rich in umami flavor.
pickled-peppers,preserved,Pickled Peppers,Pickled Peppers,pickled peppers,pickled peppers,Peppers preserved in brine or vinegar.
salsa,preserved,Salsa,Salsa,salsa,salsa,A tangy cooked or raw tomato condiment with peppers and onion.
sauerkraut,preserved,Sauerkraut,Sauerkraut,sauerkraut,sauerkraut,Finely shredded cabbage fermented in its own brine.
shrub,preserved,Shrub,Shrub,shrub,shrub,A concentrated fruit and vinegar drinking syrup.
syrup,preserved,Syrup,Syrup,syrup,syrup,A sweet concentrated fruit or herb syrup for drinks and desserts.
tomato-sauce,preserved,Tomato Sauce,Tomato Sauce,tomato sauce,tomato sauce,A cooked tomato sauce for pasta and pizza.
flower-seedling,seedling,Flower Seedling,Flower Seedlings,flower seedling,flower seedlings,A young flower plant ready for transplanting to garden beds.
herb-seedling,seedling,Herb Seedling,Herb Seedlings,herb seedling,herb seedlings,A young herb plant ready for transplanting.
hot-pepper-seedling,seedling,Hot Pepper Seedling,Hot Pepper Seedlings,hot pepper seedling,hot pepper seedlings,A young hot pepper plant ready for garden transplanting.
native-plant-seedling,seedling,Native Plant Seedling,Native Plant Seedlings,native plant seedling,native plant seedlings,A young native plant for pollinators and wildlife habitat.
perennial-seedling,seedling,Perennial Seedling,Perennial Seedlings,perennial seedling,perennial seedlings,A young perennial plant that will return each growing season.
tomato-seedling,seedling,Tomato Seedling,Tomato Seedlings,tomato seedling,tomato seedlings,A young tomato plant ready for transplanting.
tree-seedling,seedling,Tree Seedling,Tree Seedlings,tree seedling,tree seedlings,A young fruit or nut tree seedling ready for planting.
vegetable-seedling,seedling,Vegetable Seedling,Vegetable Seedlings,vegetable seedling,vegetable seedlings,A young vegetable plant ready for transplanting to the garden.
artichoke,vegetable,Artichoke,Artichokes,artichoke,artichokes,A large thistle-like plant with edible tender hearts and bracts.
arugula,vegetable,Arugula,Arugula,arugula,arugula,A peppery salad green that grows quickly in cool weather.
asparagus,vegetable,Asparagus,Asparagus,asparagus,asparagus,A perennial vegetable with tender spring spears.
beet,vegetable,Beet,Beets,beet,beets,A sweet earthy root vegetable with edible greens.
bok-choy,vegetable,Bok Choy,Bok Choy,bok choy,bok choy,A crisp mild Asian green in the cabbage family.
broccoli,vegetable,Broccoli,Broccoli,broccoli,broccoli,A nutritious brassica with dense green flower heads.
brussels-sprouts,vegetable,Brussels Sprouts,Brussels Sprouts,brussels sprouts,brussels sprouts,Small brassica heads that grow along a tall stalk.
cabbage,vegetable,Cabbage,Cabbage,cabbage,cabbage,A dense leafy brassica used fresh or in fermented preparations.
carrot,vegetable,Carrot,Carrots,carrot,carrots,A sweet crunchy root vegetable in many heirloom colors.
cauliflower,vegetable,Cauliflower,Cauliflower,cauliflower,cauliflower,A mild brassica with a dense white or colored head.
celeriac,vegetable,Celeriac,Celeriac,celeriac,celeriac,A knobby celery-flavored root vegetable great for soups.
celery,vegetable,Celery,Celery,celery,celery,A crisp stalky vegetable with a mild savory flavor.
chard,vegetable,Chard,Chard,chard,chard,A large leafy green with colorful stems and earthy spinach-like flavor.
chickpea,vegetable,Chickpea,Chickpeas,chickpea,chickpeas,A protein-rich legume harvested fresh or dried.
collard-greens,vegetable,Collard Greens,Collard Greens,collard greens,collard greens,A large hearty brassica leaf popular in Southern cooking.
corn,vegetable,Corn,Corn,corn,corn,A sweet summer staple harvested at peak ripeness.
cucumber,vegetable,Cucumber,Cucumbers,cucumber,cucumbers,A cool refreshing vine vegetable perfect for fresh eating and pickling.
daikon,vegetable,Daikon,Daikon,daikon,daikon,A large mild Japanese radish used fresh or pickled.
delicata-squash,vegetable,Delicata Squash,Delicata Squash,delicata squash,delicata squash,A sweet striped winter squash with edible thin skin.
edamame,vegetable,Edamame,Edamame,edamame,edamame,Young soybeans harvested in the pod at peak sweetness.
eggplant,vegetable,Eggplant,Eggplants,eggplant,eggplants,A glossy purple or white fruit-vegetable with creamy cooked flesh.
endive,vegetable,Endive,Endive,endive,endive,A slightly bitter chicory leaf used in salads and braised dishes.
fava-bean,vegetable,Fava Bean,Fava Beans,fava bean,fava beans,A meaty broad bean harvested fresh or dried.
fennel,vegetable,Fennel,Fennel,fennel,fennel,An anise-flavored bulb vegetable with edible fronds and seeds.
garlic,vegetable,Garlic,Garlic,garlic,garlic,A pungent allium essential to cuisines around the world.
green-bean,vegetable,Green Bean,Green Beans,green bean,green beans,A tender legume pod harvested before the seeds mature.
heirloom-tomato,vegetable,Heirloom Tomato,Heirloom Tomatoes,heirloom tomato,heirloom tomatoes,A colorful garden tomato prized for its rich flavor and diversity of shapes.
horseradish,vegetable,Horseradish,Horseradish,horseradish,horseradish,A pungent root used to make fiery condiments and sauces.
hot-pepper,vegetable,Hot Pepper,Hot Peppers,hot pepper,hot peppers,A spicy Capsicum fruit ranging from mild to extremely hot.
jerusalem-artichoke,vegetable,Jerusalem Artichoke,Jerusalem Artichokes,jerusalem artichoke,jerusalem artichokes,A sunflower relative with sweet nutty tubers also called sunchokes.
jicama,vegetable,Jicama,Jicama,jicama,jicama,A crisp sweet Mexican root vegetable eaten raw or cooked.
kabocha-squash,vegetable,Kabocha Squash,Kabocha Squash,kabocha squash,kabocha squash,A Japanese pumpkin with sweet dense orange flesh.
kale,vegetable,Kale,Kale,kale,kale,A hearty brassica leaf that is nutrient-rich and excellent raw or cooked.
kohlrabi,vegetable,Kohlrabi,Kohlrabi,kohlrabi,kohlrabi,A crunchy swollen stem vegetable with a mild broccoli-like flavor.
leek,vegetable,Leek,Leeks,leek,leeks,A mild allium with a sweet onion flavor used in soups and braises.
lettuce,vegetable,Lettuce,Lettuce,lettuce,lettuce,A crisp salad green in many heirloom leaf and head varieties.
lima-bean,vegetable,Lima Bean,Lima Beans,lima bean,lima beans,A buttery flat bean harvested fresh or dried.
mache,vegetable,Mache,Mache,mache,mache,A tender nutty salad green also known as lamb's lettuce.
mizuna,vegetable,Mizuna,Mizuna,mizuna,mizuna,A mildly peppery Japanese salad green with feathery leaves.
mustard-greens,vegetable,Mustard Greens,Mustard Greens,mustard greens,mustard greens,A pungent brassica leaf used in Southern and Asian cuisines.
napa-cabbage,vegetable,Napa Cabbage,Napa Cabbage,napa cabbage,napa cabbage,A mild wrinkled-leaf Chinese cabbage used in kimchi and stir-fries.
okra,vegetable,Okra,Okra,okra,okra,A heat-loving pod vegetable used in gumbo and fried dishes.
onion,vegetable,Onion,Onions,onion,onions,A foundational allium used fresh or cooked in countless dishes.
parsnip,vegetable,Parsnip,Parsnips,parsnip,parsnips,A sweet nutty white root vegetable harvested after frost.
potato,vegetable,Potato,Potatoes,potato,potatoes,A starchy tuber in many heirloom fingerling and heritage varieties.
pumpkin,vegetable,Pumpkin,Pumpkins,pumpkin,pumpkins,A large winter squash in many varieties for eating or display.
radicchio,vegetable,Radicchio,Radicchio,radicchio,radicchio,A bitter red Italian chicory used in salads and grilled dishes.
radish,vegetable,Radish,Radishes,radish,radishes,A crisp peppery root vegetable that matures quickly.
rhubarb,vegetable,Rhubarb,Rhubarb,rhubarb,rhubarb,A tart celery-like stalk used in pies and jams with strawberry.
rutabaga,vegetable,Rutabaga,Rutabagas,rutabaga,rutabagas,A large sweet turnip-cabbage cross with yellow flesh.
scallion,vegetable,Scallion,Scallions,scallion,scallions,A young mild green onion used fresh in many cuisines.
shallot,vegetable,Shallot,Shallots,shallot,shallots,A small mild allium with a delicate onion-garlic flavor.
snap-pea,vegetable,Snap Pea,Snap Peas,snap pea,snap peas,A sweet edible-pod pea excellent for fresh snacking.
snow-pea,vegetable,Snow Pea,Snow Peas,snow pea,snow peas,A flat edible-pod pea used in stir-fries and fresh salads.
sorrel,vegetable,Sorrel,Sorrel,sorrel,sorrel,A lemony perennial green used in soups and as a tart salad accent.
spaghetti-squash,vegetable,Spaghetti Squash,Spaghetti Squash,spaghetti squash,spaghetti squash,A winter squash whose cooked flesh pulls into spaghetti-like strands.
spinach,vegetable,Spinach,Spinach,spinach,spinach,A tender iron-rich green used fresh or cooked in many dishes.
summer-squash,vegetable,Summer Squash,Summer Squash,summer squash,summer squash,A soft-skinned squash harvested before it fully matures.
sweet-pepper,vegetable,Sweet Pepper,Sweet Peppers,sweet pepper,sweet peppers,A mild Capsicum in many colors harvested at any stage.
sweet-potato,vegetable,Sweet Potato,Sweet Potatoes,sweet potato,sweet potatoes,A sweet starchy root vegetable rich in beta-carotene.
tomatillo,vegetable,Tomatillo,Tomatillos,tomatillo,tomatillos,A small husk-wrapped green tomato relative used in salsas.
tomato,vegetable,Tomato,Tomatoes,tomato,tomatoes,A juicy summer staple enjoyed fresh or cooked in many forms.
turnip,vegetable,Turnip,Turnips,turnip,turnips,A mild white root vegetable with edible greens used in fall cooking.
watercress,vegetable,Watercress,Watercress,watercress,watercress,A peppery aquatic green used in salads and sandwiches.
winter-squash,vegetable,Winter Squash,Winter Squash,winter squash,winter squash,A hard-skinned squash harvested mature and stored for months.
yam,vegetable,Yam,Yams,yam,yams,A starchy tropical tuber with dry earthy flesh.
zucchini,vegetable,Zucchini,Zucchini,zucchini,zucchini,A prolific summer squash best harvested young and tender.
amaranth,vegetable,Amaranth,Amaranth,amaranth,amaranth,A nutritious grain and leafy green used in many traditional cuisines.
bitter-melon,vegetable,Bitter Melon,Bitter Melons,bitter melon,bitter melons,A bumpy tropical gourd prized for its distinctive bitter flavor.
cassava,vegetable,Cassava,Cassava,cassava,cassava,A starchy tropical root used for tapioca and flour.
chayote,vegetable,Chayote,Chayotes,chayote,chayotes,A mild pear-shaped gourd used fresh or cooked in many Latin cuisines.
nopal,vegetable,Nopal,Nopales,nopal,nopales,A flat cactus pad used as a vegetable in Mexican cooking.
pea,vegetable,Pea,Peas,pea,peas,A sweet shelling legume harvested fresh or dried.
purslane,vegetable,Purslane,Purslane,purslane,purslane,A succulent edible weed rich in omega-3s used fresh in salads.
taro,vegetable,Taro,Taro,taro,taro,A starchy tropical root cooked like potato in many Asian cuisines.
